"journal","frequency"
"unpublished","4918"
"PLOS ONE","157"
"Bioinformatics","120"
"Scientific Reports","103"
"eLife","97"
"Genetics","91"
"PLOS Genetics","73"
"PNAS","70"
"PLOS Computational Biology","69"
"G3: Genes|Genomes|Genetics","66"
"Nucleic Acids Research","55"
"Genome Biology","54"
"Nature Communications","48"
"Genome Research","46"
"BMC Genomics","44"
"Molecular Biology and Evolution","38"
"BMC Bioinformatics","34"
"Molecular Ecology","27"
"Nature Genetics","27"
"NeuroImage","25"
"PeerJ","24"
"Evolution","23"
"Genome Biology and Evolution","23"
"Nature Methods","21"
"American Journal of Human Genetics","20"
"Systematic Biology","20"
"F1000Research","18"
"Cell Reports","17"
"Journal of the Royal Society Interface","16"
"Journal of Theoretical Biology","16"
"PLOS Neglected Tropical Diseases","16"
"Genome Medicine","15"
"Biology Open","14"
"Frontiers in Microbiology","14"
"GigaScience","14"
"ACS Synthetic Biology","13"
"Biophysical Journal","13"
"Journal of Neuroscience","13"
"Molecular Biology Of The Cell","13"
"Molecular Ecology Resources","13"
"Nature","13"
"Nature Neuroscience","13"
"Molecular Biology And Evolution","12"
"PLOS Biology","12"
"Proceedings B","12"
"Science","12"
"Development","11"
"Journal of Evolutionary Biology","11"
"mBio","11"
"Theoretical Population Biology","11"
"Current Opinion in Genetics & Development","10"
"PLOS Pathogens","10"
"Neuron","9"
"Philosophical Transactions B","9"
"Scientific Data","9"
"BMC Evolutionary Biology","8"
"Human Molecular Genetics","8"
"Journal of Neurophysiology","8"
"The American Naturalist","8"
"Molecular Systems Biology","7"
"Plant Physiology","7"
"The Journal of Cell Biology","7"
"Biology Direct","6"
"BMC Systems Biology","6"
"Frontiers in Neuroscience","6"
"Infection, Genetics and Evolution","6"
"New Phytologist","6"
"Physical Biology","6"
"Physical Review Letters","6"
"Trends in Genetics","6"
"American Journal Of Botany","5"
"Biology Letters","5"
"BMC Biology","5"
"Cell Systems","5"
"Ecology Letters","5"
"Frontiers in Computational Neuroscience","5"
"Frontiers in Genetics","5"
"Frontiers in Neuroinformatics","5"
"Frontiers in Systems Neuroscience","5"
"Human Genetics","5"
"Human Immunology","5"
"Mathematical Biosciences","5"
"Molecular Plant Pathology","5"
"Nature Biotechnology","5"
"Neuropsychologia","5"
"Open Biology","5"
"RNA","5"
"American Journal Of Human Genetics","4"
"Database","4"
"Ecology and Evolution","4"
"Environmental Microbiology","4"
"Genes & Development","4"
"Genome Biology And Evolution","4"
"Journal of Structural Biology","4"
"Methods","4"
"Molecular Phylogenetics and Evolution","4"
"Molecular Psychiatry","4"
"Nature Microbiology","4"
"Neuroscience & Biobehavioral Reviews","4"
"Physical Review E","4"
"The ISME Journal","4"
"The Plant Journal","4"
"Acta Crystallographica Section D","3"
"Briefings In Bioinformatics","3"
"Cerebral Cortex","3"
"Current Opinion in Microbiology","3"
"Developmental Biology","3"
"Developmental Cell","3"
"Ecology","3"
"Epigenetics & Chromatin","3"
"Frontiers in Human Neuroscience","3"
"Frontiers In Microbiology","3"
"Genetics in Medicine","3"
"Genomics","3"
"Heredity","3"
"Journal Of Computational Neuroscience","3"
"Journal of Experimental Zoology Part B: Molecular and Developmental Evolution","3"
"Journal of Mathematical Biology","3"
"Journal of Molecular Biology","3"
"Journal of Molecular Evolution","3"
"Methods in Ecology and Evolution","3"
"Molecular Plant","3"
"mSystems","3"
"MSystems","3"
"Neural Computation","3"
"Pacific Symposium on Biocomputing","3"
"Proteomics","3"
"Science Advances","3"
"The Journal Of Biological Chemistry","3"
"Virus Evolution","3"
"American Journal of Obstetrics and Gynecology","2"
"American Journal of Physical Anthropology","2"
"Applied and Environmental Microbiology","2"
"Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics","2"
"Biological Psychiatry","2"
"Biomedical Genetics and Genomics","2"
"Biophysical Chemistry","2"
"Biotechnology for Biofuels","2"
"BMC Biotechnology","2"
"BMC Developmental Biology","2"
"BMC Genetics","2"
"BMC Medical Genetics","2"
"BMC Medical Genomics","2"
"Brain Structure and Function","2"
"Brain Topography","2"
"Bulletin of Mathematical Biology","2"
"Cell","2"
"Cell Cycle","2"
"Cellular Microbiology","2"
"Computer Graphics Forum","2"
"Conservation Biology","2"
"Current Biology","2"
"Current Opinion in Neurobiology","2"
"Development Genes and Evolution","2"
"EBioMedicine","2"
"Ecosphere","2"
"ENeuro","2"
"EURASIP Journal On Bioinformatics & Systems Biology","2"
"European Journal Of Human Genetics","2"
"Evolution and Human Behavior","2"
"Evolution, Medicine, and Public Health","2"
"Evolutionary Applications","2"
"Forensic Science International: Genetics","2"
"Frontiers in Bioengineering and Biotechnology","2"
"Frontiers in Cellular Neuroscience","2"
"Frontiers In Genetics","2"
"Frontiers in Neural Circuits","2"
"Frontiers in Plant Science","2"
"Frontiers in Psychology","2"
"Gene","2"
"Genes to Cells","2"
"Genetic Epidemiology","2"
"Genetics Selection Evolution","2"
"Human Brain Mapping","2"
"Human Mutation","2"
"IEEE Engineering in Medicine and Biology Society","2"
"IEEE/ACM Transactions On Computational Biology And Bioinformatics","2"
"Integrative Biology : Quantitative Biosciences From Nano To Macro","2"
"International Journal for Parasitology","2"
"International Journal of Developmental Biology","2"
"International Journal Of Epidemiology","2"
"Investigative Genetics","2"
"Investigative Opthalmology & Visual Science","2"
"Journal of Biosciences","2"
"Journal Of Chemical Information And Modeling","2"
"Journal Of Chemical Theory And Computation","2"
"Journal of Comparative Neurology","2"
"Journal of Computational Biology","2"
"Journal Of Computational Biology","2"
"Journal of Computer-Aided Molecular Design","2"
"Journal Of Genetics","2"
"Journal of Insect Physiology","2"
"Journal of Neuroscience Methods","2"
"Journal Of Proteome Research","2"
"Journal of Vision","2"
"Malaria Journal","2"
"Metabolic Engineering","2"
"Methods in Molecular Biology","2"
"Microbiome","2"
"Molecular & Cellular Proteomics","2"
"Molecular BioSystems","2"
"Molecular Cell","2"
"Molecular Plant-Microbe Interactions","2"
"Nature Protocols","2"
"Nature Reviews Genetics","2"
"NeuroImage: Clinical","2"
"Oncogene","2"
"Physical Chemistry Chemical Physics","2"
"Plant, Cell and Environment","2"
"PLOS Currents","2"
"PLOS Medicine","2"
"Proteins","2"
"Royal Society Open Science","2"
"Science Of The Total Environment","2"
"Soft Matter","2"
"The EMBO Journal","2"
"The Journal Of Physical Chemistry B","2"
"Translational Psychiatry","2"
"Trends in Microbiology","2"
"Viruses","2"
"Yeast","2"
"ACS Chemical Biology","1"
"Acta Biotheoretica","1"
"Advanced Science, Engineering and Medicine","1"
"Advances in Pharmacological Sciences","1"
"Aging","1"
"Alzheimers & Dementia","1"
"American Control Conference","1"
"American Journal of Infectious Diseases and Microbiology","1"
"American Journal of Medical Genetics Part B: Neuropsychiatric Genetics","1"
"Analytical Chemistry","1"
"Analytical Sciences","1"
"Annual Review Of Pharmacology And Toxicology","1"
"Antimicrobial Agents and Chemotherapy","1"
"Applied Microbiology and Biotechnology","1"
"Archives of Clinical Microbiology","1"
"Archives of Toxicology","1"
"Autism Research","1"
"Basic and Applied Ecology","1"
"Behavioral Ecology","1"
"Biochemical and Biophysical Research Communications","1"
"Biochemical Journal","1"
"Biochemical Society Transactions","1"
"Biochimica et Biophysica Acta (BBA) - Bioenergetics","1"
"Biochimica et Biophysica Acta (BBA) - Biomembranes","1"
"Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms","1"
"Biochimica et Biophysica Acta (BBA) - General Subjects","1"
"Biochimie","1"
"BioEssays","1"
"Biogerontology","1"
"Bioinspiration & Biomimetics","1"
"Biological Reviews","1"
"Biology of Blood and Marrow Transplantation","1"
"Biomaterials","1"
"BioMed Research International","1"
"Biostatistics","1"
"Biosystems","1"
"BioTechniques","1"
"Biotechnology and Bioengineering","1"
